code,Signification
P,Propriétaire
U,Usufruitier (associé avec N)
N,Nu-propriétaire (associé avec U)
B,Bailleur à construction (associé avec R)
R,Preneur à construction (associé avec B)
F,Foncier (associé avec D ou T)
T,Tenuyer (associé avec F)
D,Domanier (associé avec F)
V,Bailleur d’un bail à réhabilitation (associé avec W)
W,Preneur d’un bail à réhabilitation (associé avec V)
A,Locataire-Attributaire (associé avec P)
E,Emphytéote (associé avec P)
K,Antichrésiste (associé avec P)
L,Fonctionnaire logé
G,"Gérant, mandataire, gestionnaire"
H,Associé dans une société en transparence fiscale (associé avec P)
O,Autorisation d’occupation temporaire (70 ans)
J,Jeune agriculteur
Q,Gestionnaire taxe sur les bureaux (Île-de-France)
X,La Poste Occupant et propriétaire
Y,La Poste Occupant et non propriétaire
C,Fiduciaire
M,Occupant d’une parcelle appartenant au département de Mayotte ou à l’État (associé à P)
